Submit Time,Wait Time,Run Time,No. Allocated Processors,Requested Memory,Flavor
1/1/70 12:00 AM,0,3691,4,5904,583
1/1/70 12:07 AM,5,3362,1,1024,1
1/1/70 12:31 AM,12,626,10,32768,262
1/1/70 12:59 AM,11,647,10,32768,262
1/1/70 1:06 AM,7,3039,4,3200,539
1/1/70 1:07 AM,5,6253,1,1024,1
1/1/70 1:12 AM,15,2412,1,6400,221
1/1/70 1:13 AM,5,986,1,3840,171
1/1/70 1:18 AM,6,25,10,32768,262
1/1/70 1:35 AM,3,1105,4,4000,553
1/1/70 1:37 AM,52632,23087,4,32768,541
1/1/70 1:39 AM,5,1609,1,3840,171
1/1/70 1:41 AM,4,245,10,32768,262
1/1/70 1:52 AM,4,8908,8,32768,623
1/1/70 1:53 AM,4,300,2,4800,379
1/1/70 1:55 AM,7,48,1,1024,1
1/1/70 1:57 AM,5,23,1,1024,1
1/1/70 2:00 AM,8,23,1,1024,1
1/1/70 2:01 AM,3,441,4,8192,612
1/1/70 2:02 AM,5,24,1,1024,1
1/1/70 2:04 AM,5,122,1,1024,1
1/1/70 2:04 AM,5,54,1,1024,1
1/1/70 2:04 AM,5,13,1,1024,1
1/1/70 2:05 AM,7,1936,1,3200,152
1/1/70 2:07 AM,4,3945,1,1024,1
1/1/70 2:07 AM,5,33,1,1024,1
1/1/70 2:08 AM,7,35,1,1024,1
1/1/70 2:10 AM,10,33,1,1024,1
1/1/70 2:12 AM,5,26,1,1024,1
1/1/70 2:13 AM,3,564,10,32768,262
1/1/70 2:15 AM,6,46,1,1024,1
1/1/70 2:15 AM,3,185,4,8192,612
1/1/70 2:18 AM,8,97,1,1024,1
1/1/70 2:21 AM,6,26,1,1024,1
1/1/70 2:23 AM,8,25,1,1024,1
1/1/70 2:23 AM,3,17,2,4800,379
1/1/70 2:24 AM,4,17,1,12800,25
1/1/70 2:24 AM,3,2815,2,4800,379
1/1/70 2:24 AM,5,2797,1,12800,25
1/1/70 2:25 AM,4,40,1,1024,1
1/1/70 2:27 AM,6,39,1,1024,1
1/1/70 2:29 AM,5,45,1,1024,1
1/1/70 2:31 AM,6,35,1,1024,1
1/1/70 2:36 AM,10,254,4,8192,612
1/1/70 2:38 AM,5,49,1,1024,1
1/1/70 2:42 AM,15,79,1,1024,1
1/1/70 2:43 AM,7,28,10,32768,262
1/1/70 2:43 AM,7,28,1,1024,1
1/1/70 2:50 AM,12,6450,4,3424,545
1/1/70 2:50 AM,5,27,1,11840,15
1/1/70 2:52 AM,16,27,10,32768,262
1/1/70 2:53 AM,4,138,4,8192,612
1/1/70 2:53 AM,8,4514,1,3840,171
1/1/70 2:53 AM,6,65,1,11840,15
1/1/70 2:54 AM,5,302,10,32768,262
1/1/70 2:55 AM,6,1002,1,1024,1
1/1/70 2:59 AM,13,49,10,32768,262
1/1/70 3:00 AM,11,52,10,16384,261
1/1/70 3:00 AM,9,24,10,16384,261
1/1/70 3:03 AM,4,8871,10,32768,262
1/1/70 3:08 AM,9,1453,2,1024,266
1/1/70 3:11 AM,9,12,2,4800,379
1/1/70 3:12 AM,5,13,1,12800,25
